Video URL,Title,Description,Channel Title,Keyword Tags,YouTube Video Category,Topic Details,Video Published at,Video Duration,View Count,Comment Count,Captions Available,Caption Text,Location of Recording
https://www.youtube.com/watch?v=3BaTzLk9rp0,I LEARNED CODING IN A DAY #shorts,I LEARNED CODING IN A DAY #shorts,Agnit Shorts,['shorts'],24,N/A,2023-03-17T04:30:00Z,PT41S,15526522,553452,TRUE,N/A,Unknown
https://www.youtube.com/watch?v=v5pUL2li_zQ,Coding - Expectation vs Reality | Programming - Expectation vs Reality | Codeiyapa #Shorts,This is a funny video made to show difference between expectation and reality related to coding or programming.,Codeiyapa,"['video', 'sharing', 'camera phone', 'video phone', 'free', 'upload']",22,N/A,2021-04-03T11:44:08Z,PT38S,24270817,7502,FALSE,N/A,Unknown
https://www.youtube.com/watch?v=3fkP88FDgaI,coding is shockingly uncomplicated,,Brian Xu,[],27,N/A,2022-09-10T17:53:10Z,PT31S,10916134,7455,TRUE,N/A,Unknown
https://www.youtube.com/watch?v=5-oiLKEWIEw,Best Programming Languages #programming #coding #javascript,,Devslopes,[],28,N/A,2023-05-01T03:26:26Z,PT16S,6902614,4437,FALSE,N/A,Unknown
https://www.youtube.com/watch?v=P5An-rTtM_k,Amazing Rotating Python Graphics Design using Turtle 🐢 #python #pythonshorts #coding #viral #design,"Python Projects for Begineers
Python Turtle
Programming with Turtle
Turtle Graphics
Drawing with Python Turtle
Python Turtle Tutorial
Python Turtle Project
Beginner Python Turtle
Python Turtle Animation
Turtle Art
Python Programming for Kids
Fun with Python Turtle
Creative Coding with Python
Python Turtle Shapes
Python Turtle Games
Python Turtle Challenges
Turtle Graphics in Python
Python Turtle Graphics Tutorial
Python Turtle Speed
Python Turtle Pen Color
Python Turtle Coordinates
Python Turtle Functions
Python Turtle Examples
Python Turtle Patterns
Python Turtle Fractals
Python Turtle Snowflake
Python Turtle Spirograph
Python Turtle Maze
Python Turtle Race Game
Python Turtle Space Invaders Game
Python Turtle Drawing Challenge
Python tips and tricks
Python one-liners
Python code snippets
Python programming challenges
Python hacks
Python tricks for beginners
Python mini-projects
Python shortcuts
Python speed coding
Python quick snippets
Python in a minute
Python bite-sized tutorials
Python mini-lessons
Python coding exercises
Python coding challenges for beginners
Python coding hacks for productivity
Python coding tips for efficiency
Python code walkthroughs
Python coding secrets
Python coding techniques
coding status for whatsapp
As a coder whatsapp status
How to learn coding beginners
How to start coding
How to learn programming language with full
How to become a software Engineer with full information
Software Engineer kaise bane
Web developer career
Introduction to web development
Coding status for whatsapp
python coding status
python programmer
python turtle 
turtle tutorial
turtle module
turtle shorts
python shorts
coding tutorial
python tutorial
Basic computer science
CS
Coding Ninja
Hackerrank
Leetcode
How to solve problem in c
coding problems
coding basic problems",DEV19,"['Python tips and tricks', 'Python one-liners', 'Python code snippets', 'Python hacks', 'Python tricks for beginners', 'Python mini-projects', 'Python shortcuts', 'Python speed coding', 'Python quick snippets', 'Python in a minute', 'Python mini-lessons', 'Python coding exercises', 'Python coding challenges for beginners', 'Python coding hacks for productivity', 'Python coding tips for efficiency', 'Python code walkthroughs', 'Python coding secrets', 'Python coding techniques', 'viral', 'funny', 'graphics design', 'design']",28,N/A,2023-05-14T12:15:01Z,PT17S,1264000,396,TRUE,N/A,Unknown
https://www.youtube.com/watch?v=79pKwdiqcwI,FASTEST Way to Learn Coding and ACTUALLY Get a Job,"► Crush Your Next Technical Interview! Get my 5-Day free email crash course and a weekly coding challenge: https://www.interviewmaster.io/subscribe

Today, I'll share how to learn programming fast and get your first full-time Software Engineer job - step by step. As a self taught programmer, if you want to learn coding to get a job at FAANG, this video is for you. This video covers following:
1. How to learn to code fast?
2.  How to get a Software Engineer job?
3. How to prepare for Coding interviews?

► For more content like this, subscribe to our channel: https://www.youtube.com/PowerCouple26

► Follow us on Linkedin:
https://www.linkedin.com/in/gabag26
https://www.linkedin.com/in/sarrabounouh

► Let's be FRIENDS! https://www.instagram.com/power_couple26/

► For business inquiries, reach us on: powercouplejourney@gmail.com


Here are all the resources I mentioned in the video:
1. Learn Python: https://www.learnpython.org/
2. Build Python Projects: https://www.youtube.com/watch?v=8ext9G7xspg
3. Download VS code here: https://code.visualstudio.com/
4. Data Structures and Algorithms: https://www.udacity.com/course/data-structures-and-algorithms-in-python--ud513
5. Leetcode: https://leetcode.com/
6. I am not paid by any of the above. Subscribe to our channel if you want to support us.

NOTE: We are not paid by any of the above. Subscribe to our channel if you want to support us.

#learncoding #programming #softwareengineer #faang 

DISCLAIMER: All opinions shared on this channel are our own and don't express views or opinions of our employers. We only use our experiences and public knowledge to make our content. NO CONFIDENTIAL INFORMATION of our employers is used or shared on this channel. This is not a Professional Coaching channel, it only highlights the public resources that have worked for our careers.",Sahil & Sarra,"['how to learn coding', 'how to become a software engineer', 'how to learn programming', 'how to learn coding for beginners', 'how to learn programming for beginners', 'how to learn coding fast', 'how to become a software developer', 'how to get software engineer job', 'how to get software developer job', 'how to learn to code', 'coding', 'coding interview']",28,N/A,2022-03-19T17:26:33Z,PT8M50S,6776135,3680,TRUE,N/A,Unknown
https://www.youtube.com/watch?v=25RdTDN2Trg,2-Minute Rule to Learn Coding - Atomic Habits,"In this video, I will cover best Coding Habits to Adopt in 2023. I'll also talk about How To Stay Motivated When Learning To Code. This will help you learn coding efficiently. 

Grab your copy of Atomic Habits at https://amzn.to/3IRcabM

► For more content like this, subscribe to our channel: https://www.youtube.com/PowerCouple26

► Follow us on Linkedin:
https://www.linkedin.com/in/gabag26
https://www.linkedin.com/in/sarrabounouh

► Let's be FRIENDS! https://www.instagram.com/power_couple26/

► For business inquiries, reach us on: powercouplejourney@gmail.com

#learncoding #programming #atomichabits",Sahil & Sarra,"['how to learn coding', 'how to become a software engineer', 'how to learn programming', 'how to learn coding for beginners', 'how to learn programming for beginners', 'how to learn coding fast', 'how to become a software developer', 'how to get software engineer job', 'how to get software developer job', 'how to learn to code', 'coding', 'coding interview', 'atomic habits', 'james clear']",28,N/A,2023-01-13T14:00:09Z,PT7M58S,1195422,2360,TRUE,N/A,Unknown
https://www.youtube.com/watch?v=W-8j4MrsX2s,Amazing Flower Design using Python turtle 🐢 #python #coding #funny #viral #trending #design,"Python Projects for Begineers
Python Turtle
Programming with Turtle
Turtle Graphics
Drawing with Python Turtle
Python Turtle Tutorial
Python Turtle Project
Beginner Python Turtle
Python Turtle Animation
Turtle Art
Python Programming for Kids
Fun with Python Turtle
Creative Coding with Python
Python Turtle Shapes
Python Turtle Games
Python Turtle Challenges
Turtle Graphics in Python
Python Turtle Graphics Tutorial
Python Turtle Speed
Python Turtle Pen Color
Python Turtle Coordinates
Python Turtle Functions
Python Turtle Examples
Python Turtle Patterns
Python Turtle Fractals
Python Turtle Snowflake
Python Turtle Spirograph
Python Turtle Maze
Python Turtle Race Game
Python Turtle Space Invaders Game
Python Turtle Drawing Challenge
Python tips and tricks
Python one-liners
Python code snippets
Python programming challenges
Python hacks
Python tricks for beginners
Python mini-projects
Python shortcuts
Python speed coding
Python quick snippets
Python in a minute
Python bite-sized tutorials
Python mini-lessons
Python coding exercises
Python coding challenges for beginners
Python coding hacks for productivity
Python coding tips for efficiency
Python code walkthroughs
Python coding secrets
Python coding techniques
coding status for whatsapp
As a coder whatsapp status
How to learn coding beginners
How to start coding
How to learn programming language with full
How to become a software Engineer with full information
Software Engineer kaise bane
Web developer career
Introduction to web development
Coding status for whatsapp
python coding status
python programmer
python turtle 
turtle tutorial
turtle module
turtle shorts
python shorts
coding tutorial
python tutorial
Basic computer science
CS
Coding Ninja
Hackerrank
Leetcode
How to solve problem in c
coding problems
coding basic problems",DEV19,"['Python tips and tricks', 'Python one-liners', 'Python code snippets', 'Python hacks', 'Python tricks for beginners', 'Python mini-projects', 'Python shortcuts', 'Python speed coding', 'Python quick snippets', 'Python in a minute', 'Python mini-lessons', 'Python coding exercises', 'Python coding challenges for beginners', 'Python coding hacks for productivity', 'Python coding tips for efficiency', 'Python code walkthroughs', 'Python coding secrets', 'Python coding techniques', 'viral', 'funny', 'graphics design', 'design']",28,N/A,2023-05-24T13:15:02Z,PT14S,665388,271,FALSE,N/A,Unknown
https://www.youtube.com/watch?v=aeEMvz82D1Y,Junior vs Senior developer programming #coding #programming #code #shorts #htmlcss #javascript,"Junior vs Senior developer programming #coding #programming #code #shorts #htmlcss #javascript 

Code Editor: VS Code  

🌟 Please don’t forget to LIKE ❤️ SHARE and SUBSCRIBE for more amazing tutorials and web development content! 🌟

#html #css #webdevelopment #programmingtips #codehacks #frontenddevelopment #learncoding #techtips #codinglife #developertips #webdesign #codenewbie #javascript #codingtutorials #programminglife #shorts #youtubeshorts #shortsvideo #noobvspro",Coding With Nick,"['html', 'css', 'html and css', 'html css', 'frontend developer', 'frontend', 'web developer', 'image slider', 'coding with nick', 'web design', 'web development', 'programming tips', 'coding tricks', 'learn coding', 'front-end development', 'coding tips', 'developer tutorials', 'responsive design', 'programming for beginners', 'web development hacks', 'javascript tips', 'coding for beginners', 'programming tutorials', 'tech tips', 'software development', 'coding life', 'developer hacks', 'css shorts', 'html shorts']",27,N/A,2024-12-21T04:30:01Z,PT13S,460,0,TRUE,N/A,Unknown
https://www.youtube.com/watch?v=J8CwlpEwHoA,How to confuse a Python Developer?,"#shorts
In this video, we will see how you can easily confuse a python developer!
All the source code and other material will be uploaded on https://codewithharry.com as and when available!
►Check out my English channel here: https://www.youtube.com/channel/UC7btqG2Ww0_2LwuQxpvo2HQ
►Instagram: www.instagram.com/codewithharry

python, C, C++, Java, JavaScript, and Other Cheetsheets [++]:
Playlist: https://www.youtube.com/playlist?list=PLu0W_9lII9agrsRZjFECeFuWY5ev2pQlk

►Learn in One Video[++]:
Python[15 Hr] - https://www.youtube.com/watch?v=gfDE2a7MKjA&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
Python Advance[3.5 Hr] - https://www.youtube.com/watch?v=61a7UkDO50s&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
Python[1 Hr] - https://www.youtube.com/watch?v=qHJjMvHLJdg&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
Python[2 Hr] - https://www.youtube.com/watch?v=ihk_Xglr164&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
Python[15 Min] -https://www.youtube.com/watch?v=fr1f84rg4Nw&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
JavaScript[1 Hr] - https://www.youtube.com/watch?v=onbBV0uFVpo&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
C[1.3 Hr]-https://www.youtube.com/watch?v=YXcgD8hRHYY&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
php[1 Hr] - https://www.youtube.com/watch?v=xW7ro3lwaCI&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
php[2.3 Hr] -https://www.youtube.com/watch?v=1SnPKhCdlsU&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
php[Project]- https://www.youtube.com/watch?v=-al2bECumKg&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
HTML[30 Min] -https://www.youtube.com/watch?v=E3ByCRqE7Lo&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
CSS[8.5 Hr] -https://www.youtube.com/watch?v=Edsxf_NBFrw&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
CSS[1.4 Hr] -https://www.youtube.com/watch?v=u5-K_ua9sOw&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
Wordpress[3.2 Hr] -https://www.youtube.com/watch?v=GlLRYml8mCY&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
Angular[2 Hr] -https://www.youtube.com/watch?v=0LhBvp8qpro&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
Java[2.3 Hr] -https://www.youtube.com/watch?v=rV_3Lewxx6o&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
Web Scraping[1 Hr] -https://www.youtube.com/watch?v=uufDGjTuq34&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
MongoDB[2 Hr] -https://www.youtube.com/watch?v=oSIv-E60NiU&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
Numpy[1 Hr] -https://www.youtube.com/watch?v=Rbh1rieb3zc&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
Android Dev[12 Hr]- https://www.youtube.com/watch?v=mXjZQX3UzOs
Linux[1 Hr] -https://www.youtube.com/watch?v=_tCY-c-sPZc&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
JQuery[1.1 Hr] -https://www.youtube.com/watch?v=YFlx1C8XwR0&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7
Git and GitHub[1.1 Hr] -https://www.youtube.com/watch?v=gwWKnnCMQ5c&list=PLu0W_9lII9ahKZ42vg2w9ERPmShYbYAB7

►Complete course [playlist]:
React - https://www.youtube.com/playlist?list=PLu0W_9lII9agx66oZnT6IyhcMIbUMNMdt
Python-https://www.youtube.com/playlist?list=PLu0W_9lII9agICnT8t4iYVSZ3eykIAOME
OOP Python-https://www.youtube.com/playlist?list=PLu0W_9lII9ahfRrhFcoB-4lpp9YaBmdCP
Java -https://www.youtube.com/playlist?list=PLu0W_9lII9agS67Uits0UnJyrYiXhDS6q
JavaScript- https://www.youtube.com/playlist?list=PLu0W_9lII9ajyk081To1Cbt2eI5913SsL
PHP-https://www.youtube.com/playlist?list=PLu0W_9lII9aikXkRE0WxDt1vozo3hnmtR
C-https://www.youtube.com/playlist?list=PLu0W_9lII9aiXlHcLx-mDH1Qul38wD3aR
C++-https://www.youtube.com/playlist?list=PLu0W_9lII9agpFUAlPFe_VNSlXW5uE0YL
Git & GitHub-https://www.youtube.com/playlist?list=PLu0W_9lII9ahVQekD7ePHmnirTePXwIln
Android Dev- https://www.youtube.com/playlist?list=PLu0W_9lII9aiL0kysYlfSOUgY5rNlOhUd
Python GUI- https://www.youtube.com/playlist?list=PLu0W_9lII9ajLcqRcj4PoEihkukF_OTzA
Web Development- https://www.youtube.com/playlist?list=PLu0W_9lII9agiCUZYRsvtGTXdxkzPyItg
Python Django -https://www.youtube.com/playlist?list=PLu0W_9lII9ah7DDtYtflgwMwpT3xmjXY9
Projects Using HTML, CSS & Javascript- https://www.youtube.com/playlist?list=PLu0W_9lII9aiQiOwthuSvinxoflmhRxM3
Data Structure and Algo -https://www.youtube.com/playlist?list=PLu0W_9lII9ahIappRPN0MCAgtOu3lQjQi 

Follow Me On Social Media
►Website (created using Django Rest & Angular) - https://www.codewithharry.com
►Facebook - https://www.facebook.com/CodeWithHarry
►Instagram - https://www.instagram.com/codewithharry/ 
Twitter - https://twitter.com/Haris_Is_Here
Comment ""#HarryBhai"" if you read this 😉😉",CodeWithHarry,[],27,N/A,2022-05-11T17:00:09Z,PT15S,1714724,1051,TRUE,N/A,Unknown
